"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PKHD1L1",95.9349049770237,-3.15277695043441,0.93672778466965,-3.36573442363118,0.000763401690488529,0.0391625067220615
"KCNJ15",1734.34060460534,-3.14688874655489,0.717155229627873,-4.38801617355253,1.14389271116477e-05,0.00166206818851561
"CCL19",277.645420144372,-3.13921142651228,0.647829211466961,-4.84573923334481,1.2614110871021e-06,0.000257182314335702
"IGHD",110.140094704135,-3.11690759663204,1.39856944202698,-2.22863985367407,0.0258378771076234,0.401661544127599
"KRT17",584.700999004486,-3.11518561114975,0.91545192003226,-3.40289374349663,0.000666762056260579,0.035788236252847
"CXCL3",494.716829826491,-3.11461113770974,0.910054660313694,-3.4224440284017,0.000620608737878757,0.0347519040791756
"RTKN2",1398.25821332725,-3.10884474483638,0.86204578663873,-3.6063568699272,0.000310526011283975,0.020893084166985
"SCNN1G",146.672962936426,-3.10460786124662,0.759614663834291,-4.08708258154939,4.36831660339022e-05,0.00454047966952383
"HSD11B1",99.5905478443015,-3.09683220001737,0.910234626619154,-3.40223510450245,0.000668371135452152,0.035788236252847
"RSPO2",21.5829199279316,-3.08960580492161,1.73379491205193,-1.78199035159533,0.0747508051477742,0.670886393807122
"BFAR",80.8422284013118,-3.08754269091657,1.05492549555193,-2.92678744037862,0.00342482863616141,0.113966497621924
"CDO1",120.170952140397,-3.06002838034246,0.854506819811257,-3.58104617704322,0.000342221157852101,0.0225823364038256
"PLA2G2D",35.2872297088637,-3.05225643023733,1.2082969202572,-2.5260814449379,0.0115342738060216,0.255117602694243
"PLA2G5",56.5320139030488,-3.04191195466132,1.04219532659622,-2.91875416923631,0.00351433246716414,0.115951097977824
"KLF4",2840.63321041403,-3.04096897730256,0.801995955581342,-3.79175101338043,0.000149588849361858,0.0118945573570081
"CBSL",57.0789225409144,-3.03798942256291,1.1586661684599,-2.62197128496556,0.00874227965227276,0.216218465490037
"LSAMP",513.835427480579,-3.00956874091701,0.716320442843802,-4.20142796563082,2.65236645291404e-05,0.00312448768153274
"CDH19",31.2891592783449,-3.00510085261693,1.60224874833085,-1.87555200511001,0.0607168220690143,0.612288916527289
"TRIB1",3818.79419841582,-3.00291719721654,0.719225513549991,-4.17520950055649,2.97711944802594e-05,0.00338179504156832
"INMT-MINDY4",41.5007628400231,-3.00144326095465,1.13744914250879,-2.63874941637792,0.00832124636492987,0.209056525973902
"ADRA1D",23.9434601686892,-2.9957547453314,1.47777033832889,-2.02721266466824,0.0426406685154473,0.517539266794195
"SLC19A3",80.5087713314968,-2.98386441121841,0.93646194884774,-3.18631676907949,0.00144096730827645,0.0627827482288231
"MIR222HG",106.473429228738,-2.98146904954593,0.941798582366451,-3.16571834505676,0.0015470050808389,0.0656053914682161
"AC005165.1",65.1985087020451,-2.97920024672283,0.981169690229854,-3.03637615020997,0.00239440452594595,0.0881440166113854
